aspect,setiment_words,polarity
价格,很划算,1
舒适度,舒服,1
质量,没问题,1
款式,时尚,1
价格,值得,1
质量,很好,1
舒适度,很舒适,1
质量,真不错,1
舒适度,柔软舒服,1
服务,很好,1
舒适度,很舒服,1
款式,很好,1
尺寸,合适,1
质量,很满意,1
质量,非常好,1
舒适度,很保暖,1
价格,不贵,1
尺寸,很合身,1
价格,物美价廉,1
质量,比较好,1
款式,好看,1
舒适度,很暖和,1
质量,很不错,1
质量,真的不错,1
外观,超级潮,1
舒适度,很舒服,1
质量,挺好,1
舒适度,太薄,-1
质量,皱巴巴,-1
质量,很好,1
价格,物超所值,1
款式,好看,1
质量,很好,1
服务,很热情,1
款式,很大气,1
舒适度,很舒服,1
做工,很好,1
舒适度,很舒服,1
质量,没毛病,1
服务,很棒,1
舒适度,特别舒服,1
舒适度,超级暖和,1
尺寸,标准,1
款式,好看,1
质量,非常棒,1
尺寸,合身,1
舒适度,保暖,1
质量,很好,1
舒适度,很舒服,1
价格,物超所值,1
外观,很好看,1
质量,很好,1
尺寸,合适,1
做工,很好,1
外观,很帅气,1
质地,很柔软,1
质量,很好,1
做工,很细,1
尺寸,合适,1
款式,很喜欢,1
服务,态度好,1
外观,帅气,1
舒适度,合适,1
质量,非常不错,1
舒适度,舒服,1
做工,很满意,1
舒适度,比较舒服,1
尺寸,挺合身的,1
质量,比较好,1
质地,很有弹性,1
舒适度,很暖和,1
价格,不贵,1
舒适度,好舒服,1
价格,超级划算,1
款式,非常不错,1
尺寸,合适,1
做工,不错,1
质量,有保障,1
质量,天好,1
舒适度,很舒服,1
价格,比较划算,1
做工,精细平整,1
舒适度,特别舒适,1
舒适度,很舒服,1
质量,挺好的,1
舒适度,挺舒服,1
价格,特别实惠,1
性价比,很高,1
尺寸,特别的合身,1
价格,合理,1
款式,简约大方,1
外观,好看,1
舒适度,舒服,1
质量,很好,1
价格,便宜,1
做工,精细,1
价格,便宜,1
质量,不错,1
价格,挺便宜,1
外观,很修身,1
质量,很好,1
质量,挺好的,1
服务,有耐心,1
款式,特别好看,1
价格,特别实惠,1
价格,便宜,1
质量,好,1
服务,很不错,1
做工,很精细,1
外观,高端大气上档次,1
服务,挺不错的,1
质量,不错,1
尺寸,标准,1
舒适度,很舒服,1
性价比,高,1
质量,很好,1
质地,很软,1
尺寸,合身,1
质量,很好,1
质量,好,1
款式,喜欢的,1
款式,喜欢的,1
质地,很舒服,1
服务,真可以,1
价格,实惠,1
质量,很好,1
质量,相当满意,1
包装,眼前一亮,1
质量,很好,1
质地,面料很好,1
外观,很好看,1
质量,不错,1
质量,不错,1
尺寸,合适,1
质地,很软,1
舒适度,很舒适,1
款式,较为简约,1
质量,很好,1
舒适度,很舒服,1
价格,很公道,1
款式,好看,1
服务,很好,1
尺寸,宽松了点,-1
外观,挺好看,1
外观,很好看,1
质量,非常好,1
款式,时尚,1
服务,好,1
外观,挺好看,1
质量,不错,1
质地,不错,1
尺寸,合身,1
质量,很好,1
舒适度,挺舒服的,1
质量,可以,1
质量,不错,1
质量,不错,1
尺寸,刚好适合,1
质量,不错,1
尺寸,合适,1
外观,很好看,1
舒适度,很舒服,1
质地,很好,1
质量,很好,1
款式,非常时尚,1
外观,挺好看的,1
舒适度,很舒服,1
质量,不错,1
质量,很好,1
外观,很修身,1
价格,便宜,1
质量,很不错,1
包装,严实,1
质量,杠杠的,1
尺寸,正好,1
服务,优质,1
质量,挺好的,1
质地, 挺舒服的,1
价格,物美价廉,1
质量,棒棒哒,1
服务,很好,1
尺寸,正好满意,1
款式,很好看,1
舒适度,舒适,1
价格,便宜,1
